date, pm25, pm10, o3, no2, so2, co
2023/12/20, 72, 42, 11, 21, 4, 
2023/12/21, 59, 35, 19, 20, 4, 
2023/12/22, 44, 27, 19, 15, 4, 
2023/12/23, 46, 20, 18, 13, 4, 
2023/12/24, 40, 29, 11, 21, 4, 
2023/12/25, 62, 34, 6, 31, 4, 
2023/12/26, 72, 37, 11, 30, 2, 
2023/12/27, 65, 41, 11, 30, , 
2023/12/28, 73, 45, 6, 28, , 
2023/12/29, 89, 43, 14, 26, , 
2023/12/30, 98, 36, 15, 20, , 
2023/12/31, 84, 30, 11, 23, , 
2023/7/1, 41, 15, 27, 7, , 
2023/7/2, 34, 16, 27, 15, , 
2023/7/3, 38, 19, 23, 14, , 
2023/7/4, 43, 16, 18, 11, , 
2023/7/5, 39, 15, 20, 12, , 
2023/7/6, 31, 16, 26, 14, , 
2023/7/7, 32, 20, 30, 11, , 
2023/7/8, 45, 24, 32, 15, , 
2023/7/9, 52, 28, 24, 14, , 
2023/7/10, 55, 45, 10, 23, , 
2023/7/11, 67, 49, 22, 12, , 
2023/7/12, 71, 31, 21, 12, , 
2023/7/13, 54, 26, 26, 10, , 
2023/7/14, 42, 21, 26, 10, , 
2023/7/15, 36, 16, 21, 10, , 
2023/7/16, 29, 16, 16, 17, , 
2023/7/17, 34, 25, 20, 18, , 
2023/7/18, 47, 39, 23, 18, , 
2023/7/19, 61, 32, 27, 16, , 
2023/7/20, 58, 26, 22, 12, , 
2023/7/21, 47, 21, 26, 12, , 
2023/7/22, 38, 21, 25, 11, , 
2023/7/23, 41, 26, 23, 12, , 
2023/7/24, 50, 26, 27, 13, 12, 
2023/7/25, 45, 28, 25, 13, , 
2023/7/26, 36, 23, 22, 12, , 
2023/7/27, 38, 20, 30, 14, , 
2023/7/28, 33, 16, 26, 6, , 
2023/7/29, 31, 15, 23, 12, , 
2023/7/30, 31, 13, 23, 11, , 
2023/7/31, 26, 21, 23, 10, , 
2023/8/1, 37, 25, 23, 10, , 
2023/8/2, 49, 23, 22, 11, , 
2023/8/3, 42, 16, 24, 14, , 
2023/8/4, 28, 14, 29, 8, , 
2023/8/5, 22, 15, 23, 11, , 
2023/8/6, 27, 19, 25, 11, , 
2023/8/7, 35, 21, 23, 11, , 
2023/8/8, 39, 21, 26, 8, , 
2023/8/9, 40, 18, 29, 15, , 
2023/8/10, 34, 21, 31, 21, , 
2023/8/11, 39, 21, 32, 10, , 
2023/8/12, 44, 19, 28, 16, , 
2023/8/13, 52, 16, 25, 13, , 
2023/8/14, 42, 15, 32, 8, , 
2023/8/15, 34, 16, 30, 10, , 
2023/8/16, 38, 19, 31, 8, , 
2023/8/17, 44, 22, 29, 15, , 
2023/8/18, 50, 28, 30, 10, , 
2023/8/19, 59, 34, 29, 23, 1, 
2023/8/20, 67, 38, 36, 31, 1, 
2023/8/21, 68, 36, 34, 22, , 
2023/8/22, 65, 40, 36, 36, 1, 
2023/8/23, 65, 40, 33, 23, , 
2023/8/24, 65, 28, 32, 10, , 
2023/8/25, 57, 22, 30, 7, , 
2023/8/26, 50, 23, 18, 8, , 
2023/8/27, 46, 12, 25, 10, , 
2023/8/28, 24, 12, 25, 13, , 
2023/8/29, 17, 14, 23, 15, , 
2023/8/30, 27, 15, 28, 15, 1, 
2023/8/31, 34, 12, 27, 15, 2, 
2023/9/1, 27, 12, 28, 9, 2, 
2023/9/2, 26, 14, 32, 7, 2, 
2023/9/3, 30, 17, 32, 14, 1, 
2023/9/4, 31, 20, 32, 16, 1, 
2023/9/5, 38, 18, 36, 15, 1, 
2023/9/6, 40, 19, 31, 19, 1, 
2023/9/7, 39, 19, 33, 23, 1, 
2023/9/8, 46, 21, 30, 21, 1, 
2023/9/9, 53, 17, 27, 13, 1, 
2023/9/10, 50, 13, 29, 10, 1, 
2023/9/11, 37, 16, 26, 16, , 
2023/9/12, 44, 19, 25, 14, 1, 
2023/9/13, 48, 16, 26, 16, 1, 
2023/9/14, 32, 15, 20, 19, 1, 
2023/9/15, 30, 12, 22, 19, , 
2023/9/16, 29, 36, 27, 14, 1, 
2023/9/17, 57, 53, 26, 12, 1, 
2023/9/18, 75, 23, 20, 21, 1, 
2023/9/19, 35, 16, 26, 13, , 
2023/9/20, 27, 17, 30, 20, , 
2023/9/21, 32, 16, 22, 11, 1, 
2023/9/22, 27, 10, 26, 11, 1, 
2023/9/23, 17, 9, 30, 10, 1, 
